name,vehicles,trips,optimal,best,diff,coverage,timeout
b2-16,2,16,309.41,310.35,-,100\%,Si
b2-20,2,20,332.64,363.11,-,100\%,Si
b2-24,2,24,444.71,454.65,-,100\%,Si
b3-24,3,24,394.51,403.99,-,100\%,Si
b3-30,3,30,531.44,558.90,-,100\%,Si
b3-36,3,36,603.79,573.90,-,97.2\%,Si
b4-32,4,32,494.82,530.68,-,100\%,Si
b4-40,4,40,656.63,652.47,-,97.5\%,Si
b4-48,4,48,673.81,719.55,-,100\%,No
b5-40,5,40,613.72,690.55,-,100\%,Si
b5-50,5,50,761.4,776.76,-,94\%,No
b5-60,5,60,902.04,965.71,-,98.3\%,No
b6-48,6,48,714.83,785.18,-,100\%,No
b6-60,6,60,860.07,941.09,-,100\%,No
b6-72,6,72,978.47,1123.74,-,97.2\%,No
b7-56,7,56,823.97,892.41,-,100\%,No
b7-70,7,70,912.62,1295.57,-,97.1\%,No
b7-84,7,84,1203.37,1352.71,-,95.2\%,No
b8-64,8,64,839.89,946.69,-,-,100\%,No
b8-80,8,80,1036.34,1209.25,-,98.7\%,No
b8-96,8,96,1185.55,1549.40,-,100\%,No